"","size","milk","whip","serv_size_m_l","calories","total_fat_g","saturated_fat_g","trans_fat_g","cholesterol_mg","sodium_mg","total_carbs_g","fiber_g","sugar_g","caffeine_mg"
"1","short","0","0",236,3,0.1,0,"0",0,5,0,"0",0,130
"2","tall","0","0",354,4,0.1,0,"0",0,10,0,"0",0,193
"3","grande","0","0",473,5,0.1,0,"0",0,10,0,"0",0,260
"4","venti","0","0",591,5,0.1,0,"0",0,10,0,"0",0,340
"5","short","0","0",236,3,0.1,0,"0",0,5,0,"0",0,15
"6","tall","0","0",354,4,0.1,0,"0",0,10,0,"0",0,20
"7","grande","0","0",473,5,0.1,0,"0",0,10,0,"0",0,25
"8","venti","0","0",591,5,0.1,0,"0",0,10,0,"0",0,30
"9","short","0","0",236,3,0.1,0,"0",0,5,0,"0",0,155
"10","tall","0","0",354,4,0.1,0,"0",0,5,0,"0",0,235
"11","grande","0","0",473,5,0.1,0,"0",0,5,0,"0",0,310
"12","venti","0","0",591,5,0.1,0,"0",0,5,0,"0",0,410
"13","short","0","0",236,3,0.1,0,"0",0,5,0,"0",0,180
"14","tall","0","0",354,4,0.1,0,"0",0,5,0,"0",0,270
"15","grande","0","0",473,5,0.1,0,"0",0,5,0,"0",0,360
"16","venti","0","0",591,5,0.1,0,"0",0,5,0,"0",0,475
"17","short","1","0",236,35,0.1,0.1,"0",0,45,5,"0",5,75
"18","short","2","0",236,50,2,1,"0.1",10,50,5,"0",5,75
"19","short","5","0",236,70,3.5,2,"0.1",10,50,5,"0",5,75
"20","short","3","0",236,40,1.5,0.2,"0",0,40,3,"0",2,75
"21","short","4","0",236,40,2.5,2.5,"0",0,45,4,"0",3,75
"22","tall","1","0",354,60,0.2,0.1,"0",5,70,8,"0",8,115
"23","tall","2","0",354,80,3,1.5,"0.1",15,80,8,"0",8,115
"24","tall","5","0",354,100,5,3,"0.2",15,70,8,"0",8,115
"25","tall","3","0",354,60,2.5,0.3,"0",0,60,5,"1",4,115
"26","tall","4","0",354,60,3.5,3.5,"0",0,70,6,"0",5,115
"27","grande","1","0",473,70,0.2,0.1,"0",5,90,10,"0",10,150
"28","grande","2","0",473,110,4,2,"0.1",15,100,10,"0",10,150
